"","year","RHminT","RHmaxT"
"64",1952,88.9907103825137,46.877868852459
"65",1953,89.6660273972603,48.9079452054795
"66",1954,88.9805479452055,45.9682191780822
"67",1955,88.9567123287671,49.7528767123288
"68",1956,88.9346994535519,47.6177595628415
"69",1957,89.2904109589041,47.9712328767123
"70",1958,87.5852054794521,46.6690410958904
"71",1959,86.1958904109589,46.3923287671233
"72",1960,89.5909836065574,47.9265027322404
"73",1961,87.5569863013699,47.1558904109589
"74",1962,86.0504109589041,45.9482191780822
"75",1963,84.4747945205479,48.033698630137
"76",1964,82.6893442622951,46.5959016393443
"77",1965,84.2131506849315,48.9643835616438
"78",1966,83.7545205479452,47.5454794520548
"79",1967,84.7421917808219,48.0621917808219
"80",1968,88.3325136612022,49.698087431694
"81",1969,85.6235616438356,44.9561643835616
"82",1970,83.7764383561644,46.5238356164384
"83",1971,86.3791780821918,48.9367123287671
"84",1972,80.5407103825137,44.8155737704918
"85",1973,83.8665753424658,48.0750684931507
"86",1974,86.0835616438356,47.0676712328767
"87",1975,84.4468493150685,45.7178082191781
"88",1976,82.6467213114754,44.9560109289617
"89",1977,83.6821917808219,44.7421917808219
"90",1978,83.3849315068493,44.6750684931507
"91",1979,85.6361643835616,46.4057534246575
"92",1980,85.7877049180328,47.7674863387978
"93",1981,82.6819178082192,45.9709589041096
"94",1982,85.5043835616438,46.8649315068493
"95",1983,84.7361643835616,45.9353424657534
"96",1984,84.6868852459016,46.5530054644809
"97",1985,82.2150684931507,44.5230136986301
"98",1986,84.7567123287671,47.1904109589041
"99",1987,81.5745205479452,44.0569863013699
"100",1988,83.3841530054645,46.3592896174863
"101",1989,83.2572602739726,45.1021917808219
"102",1990,85.7246575342466,46.5282191780822
"103",1991,85.1991780821918,47.0394520547945
"104",1992,86.8360655737705,49.6344262295082
"105",1993,86.8394520547945,46.8298630136986
"106",1994,84.6290410958904,44.7405479452055
"107",1995,84.2227397260274,45.2964383561644
"108",1996,84.0912568306011,45.6098360655738
"109",1997,86.0260273972603,46.2065753424658
"110",1998,85.0367123287671,45.5265753424658
"111",1999,84.1317808219178,44.318904109589
"112",2000,84.1103825136612,44.2128415300546
"113",2001,86.4506849315068,44.6753424657534
"114",2002,85.1186301369863,45.2334246575342
"115",2003,85.427397260274,45.7268493150685
"116",2004,84.5385245901639,44.7158469945355
"117",2005,86.4567123287671,46.8961643835616
"118",2006,84.9304109589041,43.4594520547945
"119",2007,85.8695890410959,45.6167123287671
"120",2008,85.8956284153005,44.7603825136612
"121",2009,82.9846575342466,43.1123287671233
"122",2010,81.7202739726027,40.113698630137
"123",2011,82.441095890411,43.4594520547945
"124",2012,83.322131147541,42.6475409836066
"125",2013,85.426301369863,45.0901369863014
"126",2014,84.5915068493151,44.2953424657534
"127",2015,82.9717808219178,42.5739726027397
"128",2016,84.2715846994536,45.4352459016393
"129",2017,83.96,44.8638356164384
"130",2018,85.998904109589,46.2969863013699
"131",2019,83.4095890410959,43.1879452054795
"132",2020,82.6196721311475,44.0562841530055
"133",2021,83.4602739726027,45.1734246575342
"134",2022,83.3654794520548,43.9969863013699
"135",2023,82.1520547945206,43.0898630136986
"136",2024,81.4216535433071,44.1850393700787
