Year,Date,rainfall,tmax,tmin,vapourpres_h09,vapourpres_h15
1911,19110115,0,30.59179688,16.16113281,,
1911,19110116,0,32.07226563,16.01074219,,
1911,19110117,0,35.2421875,19.13085938,,
1911,19110118,0,29.84179688,16.34082031,,
1911,19110119,0,27.6015625,18.59082031,,
1911,19110120,0,27.06152344,16.23144531,,
1911,19110121,0,26.93164063,15.06054688,,
1911,19110122,0.009765625,27.56152344,16.43066406,,
1911,19110123,0,28.04199219,17.15136719,,
1911,19110124,0,27.57226563,16.40136719,,
1911,19110125,0,25.86230469,18.29101563,,
1911,19110126,0,29.51171875,18.19140625,,
1911,19110127,0,29.54199219,19.7109375,,
1911,19110128,0,26.08203125,18.04101563,,
1911,19110129,0,27.52246094,16.05078125,,
1911,19110130,0,28.27246094,15.97070313,,
1911,19110131,0,28.93164063,17.04101563,,
1911,19110201,0,37.76953125,19.80273438,,
1911,19110202,0,31.12988281,20.96289063,,
1911,19110203,0.012695313,24.08984375,18.35253906,,
1911,19110204,0,24.45019531,13.34277344,,
1911,19110205,0,28.38964844,13.6328125,,
1911,19110206,0,34.44042969,16.44335938,,
1911,19110207,0,31.75976563,18.47265625,,
1911,19110208,0,29.15039063,20.28320313,,
1911,19110209,0,28.09960938,17.39257813,,
1911,19110210,0,30.29003906,16.98339844,,
1911,19110211,0,27.91015625,17.31347656,,
1911,19110212,0,25.70996094,14.61328125,,
1911,19110213,0,29.13964844,15.66308594,,
1911,19110214,0.16015625,32.65039063,17.85253906,,
1911,19110215,0,37.15039063,19.98339844,,
1911,19110216,0,37.05957031,18.51269531,,
1911,19110217,0,30.70996094,19.08300781,,
1911,19110218,0,28.28027344,17.08300781,,
1911,19110219,0,31.33007813,17.06347656,,
1911,19110220,0,27.04980469,19.32324219,,
1911,19110221,0.716796875,23.44042969,16.6328125,,
1911,19110222,0.083984375,25.20996094,11.72265625,,
1911,19110223,0,28.33984375,14.61328125,,
1911,19110224,0,32.45019531,17.48339844,,
1911,19110225,0,26.25,17.92285156,,
